name,brand,type,model_year,price,mileage,fuel_type,transmission,safety_rating,engine_cc,seating_capacity,power_bhp,torque_nm,body_type,airbags,abs,ground_clearance,boot_space,service_cost,insurance_cost
Brezza,Maruti,Car,2020,3870241,27,Hybrid,Manual,3,1462,5,103,391,SUV,2,No,239,352,5654,55852
Fronx,Maruti,Car,2020,3404681,25,Diesel,Manual,3,1197,5,99,128,SUV,4,No,225,548,14094,12081
Fronx,Maruti,Car,2020,1435230,20,Electric,Automatic,5,1197,5,99,242,SUV,6,No,190,538,4361,21630
Fronx,Maruti,Car,2020,2498910,25,Hybrid,Automatic,3,1197,5,99,108,SUV,4,Yes,248,599,4714,55244
Fronx,Maruti,Car,2020,4036808,26,Petrol,Automatic,4,1197,5,99,285,SUV,3,Yes,196,443,10900,30202
Grand Vitara,Maruti,Car,2020,1363396,28,Hybrid,Manual,5,1490,5,114,382,SUV,5,No,225,537,8490,15414
Grand Vitara,Maruti,Car,2020,3478072,25,Hybrid,Automatic,4,1490,5,114,362,SUV,6,No,171,218,13909,22424
Grand Vitara,Maruti,Car,2020,1260684,23,Diesel,Manual,3,1490,5,114,94,SUV,7,No,219,589,14545,22238
Grand Vitara,Maruti,Car,2020,1072456,26,Petrol,Manual,5,1490,5,114,278,SUV,3,No,215,233,6168,54238
Nexon,Tata,Car,2020,4278449,24,Diesel,Automatic,5,1497,5,113,156,SUV,1,Yes,158,583,13601,50677
Nexon,Tata,Car,2020,3637500,21,Diesel,Automatic,3,1497,5,113,275,SUV,7,No,152,560,10782,55072
Nexon,Tata,Car,2020,2235135,23,Diesel,Manual,4,1497,5,113,158,SUV,2,No,231,536,8496,11107
Nexon,Tata,Car,2020,4200541,16,Diesel,Automatic,3,1497,5,113,249,SUV,3,No,215,480,5367,27108
Punch,Tata,Car,2020,3553940,28,Hybrid,Manual,4,1199,5,86,148,SUV,7,No,188,552,8996,30547
Punch,Tata,Car,2020,3965251,27,Diesel,Manual,5,1199,5,86,306,SUV,7,Yes,158,688,10135,59343
Punch,Tata,Car,2020,1851994,18,Petrol,Automatic,4,1199,5,86,114,SUV,5,No,243,557,11334,41155
Punch,Tata,Car,2020,2420303,24,Hybrid,Automatic,4,1199,5,86,255,SUV,4,No,226,554,7646,15604
Harrier,Tata,Car,2020,3267647,21,Petrol,Manual,5,1956,5,168,396,SUV,4,No,188,532,8064,20392
Harrier,Tata,Car,2020,4279099,26,Electric,Automatic,5,1956,5,168,138,SUV,8,Yes,150,624,12743,57260
Harrier,Tata,Car,2020,1038175,15,Electric,Manual,4,1956,5,168,98,SUV,8,No,173,606,13382,16424
Harrier,Tata,Car,2020,1939403,20,Diesel,Manual,5,1956,5,168,388,SUV,5,Yes,245,433,14398,25658
Safari,Tata,Car,2020,4281665,15,Diesel,Manual,5,1956,7,168,386,SUV,7,Yes,174,692,13415,54639
Safari,Tata,Car,2020,702650,25,Hybrid,Automatic,4,1956,7,168,366,SUV,3,Yes,222,416,3205,58411
Safari,Tata,Car,2020,3080299,22,Petrol,Automatic,3,1956,7,168,331,SUV,1,Yes,236,573,11790,20667
Safari,Tata,Car,2020,638761,14,Electric,Manual,3,1956,7,168,377,SUV,5,No,162,371,6033,59571
Altroz,Tata,Car,2020,2203843,25,Hybrid,Automatic,5,1199,5,88,152,Hatchback,2,Yes,227,319,14571,32842
Altroz,Tata,Car,2020,731140,20,Diesel,Automatic,3,1199,5,88,385,Hatchback,6,No,208,492,9020,24926
Altroz,Tata,Car,2020,4172685,23,Petrol,Manual,5,1199,5,88,244,Hatchback,3,Yes,165,637,11592,50238
Altroz,Tata,Car,2020,2547622,27,Electric,Manual,4,1199,5,88,359,Hatchback,2,No,202,211,6490,45079
Tiago,Tata,Car,2020,2419532,24,Electric,Manual,4,1199,5,86,111,Hatchback,6,Yes,228,503,10511,45239
Tiago,Tata,Car,2020,1906292,19,Hybrid,Manual,4,1199,5,86,217,Hatchback,6,No,151,591,4852,49347
Tiago,Tata,Car,2020,700672,20,Hybrid,Manual,4,1199,5,86,225,Hatchback,5,No,246,213,3212,28408
Tiago,Tata,Car,2020,2227738,17,Diesel,Automatic,5,1199,5,86,282,Hatchback,1,Yes,241,282,10227,35704
Creta,Hyundai,Car,2020,1762644,19,Hybrid,Manual,5,1497,5,115,127,SUV,5,No,247,686,7683,42619
Creta,Hyundai,Car,2020,3181070,27,Hybrid,Automatic,4,1497,5,115,284,SUV,7,Yes,196,556,12288,24931
Creta,Hyundai,Car,2020,4017236,17,Diesel,Manual,5,1497,5,115,304,SUV,7,No,231,698,13222,10022
Creta,Hyundai,Car,2020,1148506,25,Hybrid,Manual,5,1497,5,115,109,SUV,6,Yes,205,309,8248,12558
Venue,Hyundai,Car,2020,3486684,20,Petrol,Automatic,5,1493,5,113,267,SUV,6,No,237,651,8311,30399
Venue,Hyundai,Car,2020,1255871,26,Diesel,Manual,5,1493,5,113,374,SUV,4,Yes,199,575,14281,28819
Venue,Hyundai,Car,2020,1258943,17,Diesel,Automatic,3,1493,5,113,240,SUV,4,No,170,303,7290,43576
Venue,Hyundai,Car,2020,3047982,17,Diesel,Manual,3,1493,5,113,371,SUV,7,No,192,227,4028,14221
Verna,Hyundai,Car,2020,1471577,15,Electric,Manual,5,1482,5,158,231,Sedan,8,No,154,636,8807,50204
Verna,Hyundai,Car,2020,4324551,24,Petrol,Manual,4,1482,5,158,234,Sedan,4,Yes,225,236,4830,43238
Verna,Hyundai,Car,2020,941198,27,Hybrid,Manual,4,1482,5,158,384,Sedan,7,No,207,695,11692,59614
Verna,Hyundai,Car,2020,1952799,19,Electric,Manual,3,1482,5,158,176,Sedan,4,No,159,656,10786,39270
i20,Hyundai,Car,2020,3807748,27,Electric,Manual,4,1197,5,82,198,Hatchback,6,No,221,445,5088,46411
i20,Hyundai,Car,2020,3715846,18,Petrol,Automatic,4,1197,5,82,96,Hatchback,7,No,231,696,4700,43191
i20,Hyundai,Car,2020,3968542,18,Petrol,Manual,4,1197,5,82,232,Hatchback,7,Yes,162,605,14116,59905
i20,Hyundai,Car,2020,2168816,20,Petrol,Automatic,3,1197,5,82,146,Hatchback,1,Yes,247,572,6880,56600
Sonet,Kia,Car,2020,4444250,21,Electric,Manual,5,1493,5,115,104,SUV,1,Yes,247,223,10288,13714
Sonet,Kia,Car,2020,3184499,21,Electric,Manual,5,1493,5,115,137,SUV,6,Yes,240,300,9354,12086
Sonet,Kia,Car,2020,2392563,20,Diesel,Automatic,3,1493,5,115,370,SUV,2,Yes,206,456,9384,36081
Sonet,Kia,Car,2020,2569671,17,Petrol,Manual,3,1493,5,115,173,SUV,6,No,208,248,11192,13498
Seltos,Kia,Car,2020,1050960,15,Hybrid,Automatic,4,1497,5,115,104,SUV,5,No,181,440,8630,41212
Seltos,Kia,Car,2020,1994703,17,Hybrid,Automatic,3,1497,5,115,225,SUV,6,Yes,233,442,4267,14161
Seltos,Kia,Car,2020,1274147,21,Petrol,Automatic,3,1497,5,115,339,SUV,1,Yes,181,533,10517,23691
Seltos,Kia,Car,2020,1120588,25,Diesel,Manual,5,1497,5,115,157,SUV,6,No,247,620,13639,49003
Carens,Kia,Car,2020,733519,15,Petrol,Automatic,4,1493,7,115,302,MPV,7,Yes,212,356,4127,12491
Carens,Kia,Car,2020,2835102,18,Petrol,Manual,5,1493,7,115,252,MPV,1,No,201,538,5393,11415
Carens,Kia,Car,2020,1402579,20,Diesel,Manual,4,1493,7,115,376,MPV,5,No,211,211,5546,58327
Carens,Kia,Car,2020,4122004,15,Hybrid,Automatic,4,1493,7,115,247,MPV,1,Yes,191,358,13307,56743
XUV700,Mahindra,Car,2020,1989547,21,Diesel,Manual,4,2198,7,182,283,SUV,2,No,220,305,3232,14440
XUV700,Mahindra,Car,2020,1670546,27,Electric,Automatic,3,2198,7,182,113,SUV,3,Yes,187,422,6332,37812
XUV700,Mahindra,Car,2020,1220965,21,Electric,Automatic,5,2198,7,182,327,SUV,4,Yes,169,256,13726,24986
XUV700,Mahindra,Car,2020,3419102,28,Hybrid,Manual,3,2198,7,182,319,SUV,5,Yes,219,591,5751,31380
Scorpio N,Mahindra,Car,2020,2933397,23,Hybrid,Manual,4,2198,7,172,326,SUV,1,Yes,150,579,4528,34106
Scorpio N,Mahindra,Car,2020,2535475,26,Electric,Manual,5,2198,7,172,315,SUV,1,No,168,231,6501,52818
Scorpio N,Mahindra,Car,2020,871287,24,Petrol,Manual,3,2198,7,172,131,SUV,3,No,178,573,4007,21116
Scorpio N,Mahindra,Car,2020,1060812,17,Hybrid,Automatic,5,2198,7,172,243,SUV,1,No,162,219,10693,58225
Thar,Mahindra,Car,2020,2957286,26,Hybrid,Manual,4,2184,4,130,300,SUV,5,Yes,222,492,9484,25551
Thar,Mahindra,Car,2020,1713826,17,Diesel,Manual,5,2184,4,130,156,SUV,8,No,162,578,5725,50996
Thar,Mahindra,Car,2020,2940106,25,Petrol,Automatic,5,2184,4,130,346,SUV,8,No,217,276,5031,49074
Thar,Mahindra,Car,2020,681568,18,Diesel,Manual,4,2184,4,130,267,SUV,2,Yes,190,451,3240,17005
City,Honda,Car,2020,992348,14,Petrol,Manual,5,1498,5,121,326,Sedan,6,No,162,391,4962,10201
City,Honda,Car,2020,1042791,25,Diesel,Manual,3,1498,5,121,159,Sedan,5,Yes,189,430,7138,32074
City,Honda,Car,2020,786670,16,Electric,Automatic,4,1498,5,121,370,Sedan,6,No,150,631,11677,12599
City,Honda,Car,2020,4447225,16,Diesel,Automatic,5,1498,5,121,176,Sedan,2,Yes,169,255,3408,41765
Elevate,Honda,Car,2020,3678099,20,Diesel,Automatic,5,1498,5,121,374,SUV,7,Yes,222,401,7441,33869
Elevate,Honda,Car,2020,4174839,20,Hybrid,Automatic,3,1498,5,121,111,SUV,8,Yes,231,587,14174,12106
Elevate,Honda,Car,2020,3670460,21,Electric,Automatic,4,1498,5,121,234,SUV,6,No,234,282,7812,33827
Elevate,Honda,Car,2020,1444463,28,Electric,Automatic,3,1498,5,121,154,SUV,1,Yes,247,600,12707,29796
Virtus,Volkswagen,Car,2020,1566337,14,Diesel,Manual,5,1498,5,148,103,Sedan,8,Yes,231,308,7476,20251
Virtus,Volkswagen,Car,2020,2671725,19,Diesel,Automatic,5,1498,5,148,157,Sedan,8,Yes,182,257,5245,20133
Virtus,Volkswagen,Car,2020,3494459,26,Diesel,Automatic,5,1498,5,148,287,Sedan,8,Yes,243,512,13367,11572
Virtus,Volkswagen,Car,2020,4198326,14,Electric,Automatic,4,1498,5,148,272,Sedan,7,Yes,191,428,8686,10821
Taigun,Volkswagen,Car,2020,4304680,23,Electric,Automatic,3,1498,5,148,116,SUV,4,Yes,231,674,5290,23784
Taigun,Volkswagen,Car,2020,1551928,21,Hybrid,Automatic,3,1498,5,148,233,SUV,8,Yes,226,628,14124,52160
Taigun,Volkswagen,Car,2020,4106827,18,Hybrid,Automatic,3,1498,5,148,154,SUV,5,No,180,428,11865,10638
Taigun,Volkswagen,Car,2020,1628079,21,Petrol,Automatic,5,1498,5,148,103,SUV,3,Yes,238,589,3670,53951
Kushaq,Skoda,Car,2020,629284,27,Hybrid,Manual,5,1498,5,148,256,SUV,3,Yes,248,460,14303,39486
Kushaq,Skoda,Car,2020,3464419,24,Electric,Automatic,3,1498,5,148,274,SUV,1,Yes,199,339,9601,37747
Kushaq,Skoda,Car,2020,3827480,22,Hybrid,Automatic,5,1498,5,148,332,SUV,5,Yes,150,433,13733,32307
Kushaq,Skoda,Car,2020,2829974,21,Diesel,Automatic,3,1498,5,148,147,SUV,3,Yes,159,229,10517,27501
Slavia,Skoda,Car,2020,1352276,16,Hybrid,Automatic,5,1498,5,148,391,Sedan,4,No,206,670,12717,55402
Slavia,Skoda,Car,2020,2355806,28,Electric,Automatic,4,1498,5,148,200,Sedan,8,No,203,650,12633,46608
Slavia,Skoda,Car,2020,3178355,26,Diesel,Automatic,5,1498,5,148,143,Sedan,6,Yes,189,299,13560,25800
Slavia,Skoda,Car,2020,4089637,22,Petrol,Manual,5,1498,5,148,316,Sedan,7,Yes,173,261,10432,51130
Apache RTR 160,TVS,Bike,2020,229763,35,Electric,Automatic,4,160,2,16,149,Bike,5,No,174,582,10090,57355
Apache RTR 160,TVS,Bike,2020,118705,58,Hybrid,Manual,3,160,2,16,323,Bike,8,Yes,150,680,10980,29254
Apache RTR 160,TVS,Bike,2020,378437,67,Electric,Automatic,4,160,2,16,113,Bike,4,No,228,495,13308,37919
Apache RTR 160,TVS,Bike,2020,253560,33,Diesel,Automatic,3,160,2,16,97,Bike,8,No,195,443,8483,43695
Apache RTR 200,TVS,Bike,2020,96397,47,Diesel,Automatic,3,198,2,20,254,Bike,4,No,217,345,9405,16735
Apache RTR 200,TVS,Bike,2020,310375,41,Hybrid,Manual,5,198,2,20,123,Bike,4,Yes,181,647,5395,41850
Apache RTR 200,TVS,Bike,2020,124540,69,Electric,Automatic,4,198,2,20,158,Bike,1,No,216,654,4995,41483
Apache RTR 200,TVS,Bike,2020,253869,57,Hybrid,Manual,3,198,2,20,253,Bike,3,Yes,152,269,8669,59347
Ronin,TVS,Bike,2020,293309,70,Petrol,Manual,3,225,2,20,207,Bike,8,Yes,210,592,14813,26309
Ronin,TVS,Bike,2020,336547,30,Hybrid,Automatic,5,225,2,20,235,Bike,3,No,179,262,6589,19428
Ronin,TVS,Bike,2020,273496,69,Electric,Manual,5,225,2,20,373,Bike,7,Yes,154,218,13835,57564
Ronin,TVS,Bike,2020,387330,39,Electric,Manual,5,225,2,20,113,Bike,4,Yes,176,364,14586,16143
Raider 125,TVS,Bike,2020,280251,47,Diesel,Manual,4,124,2,11,156,Bike,2,Yes,243,649,12461,40489
Raider 125,TVS,Bike,2020,126268,43,Petrol,Automatic,3,124,2,11,250,Bike,7,No,175,500,13640,27650
Raider 125,TVS,Bike,2020,88859,71,Diesel,Manual,5,124,2,11,92,Bike,8,No,198,209,4695,54583
Raider 125,TVS,Bike,2020,339763,30,Diesel,Automatic,4,124,2,11,116,Bike,2,Yes,167,582,3192,30748
Pulsar N160,Bajaj,Bike,2020,82025,40,Petrol,Manual,5,164,2,16,194,Bike,4,Yes,196,614,13788,33130
Pulsar N160,Bajaj,Bike,2020,139223,64,Electric,Manual,4,164,2,16,360,Bike,1,Yes,233,523,3405,59410
Pulsar N160,Bajaj,Bike,2020,214525,30,Petrol,Manual,5,164,2,16,222,Bike,2,Yes,233,412,4607,43750
Pulsar N160,Bajaj,Bike,2020,366618,69,Petrol,Automatic,4,164,2,16,386,Bike,3,No,187,486,4605,54850
Pulsar NS200,Bajaj,Bike,2020,308991,49,Diesel,Automatic,5,199,2,24,297,Bike,3,Yes,206,386,9107,14951
Pulsar NS200,Bajaj,Bike,2020,299631,62,Diesel,Automatic,3,199,2,24,375,Bike,3,No,186,329,3646,37869
Pulsar NS200,Bajaj,Bike,2020,173355,66,Diesel,Manual,3,199,2,24,291,Bike,1,No,155,245,13719,49323
Pulsar NS200,Bajaj,Bike,2020,105360,41,Petrol,Automatic,5,199,2,24,367,Bike,8,No,237,590,13745,24071
Dominar 400,Bajaj,Bike,2020,230601,75,Diesel,Manual,5,373,2,40,235,Bike,7,No,234,451,13735,41343
Dominar 400,Bajaj,Bike,2020,103231,61,Hybrid,Manual,5,373,2,40,114,Bike,6,Yes,205,342,10168,50108
Dominar 400,Bajaj,Bike,2020,150859,35,Electric,Manual,5,373,2,40,194,Bike,6,No,202,601,13748,37594
Dominar 400,Bajaj,Bike,2020,387849,31,Diesel,Automatic,4,373,2,40,200,Bike,4,Yes,162,556,12710,32286
Splendor Plus,Hero,Bike,2020,383089,60,Petrol,Manual,4,97,2,8,265,Bike,1,Yes,188,333,11224,18189
Splendor Plus,Hero,Bike,2020,372076,44,Petrol,Manual,4,97,2,8,250,Bike,2,No,213,583,8716,34226
Splendor Plus,Hero,Bike,2020,228290,61,Diesel,Manual,3,97,2,8,102,Bike,4,No,165,522,13462,53001
Splendor Plus,Hero,Bike,2020,159028,70,Petrol,Automatic,3,97,2,8,309,Bike,1,Yes,221,297,3243,26668
Xpulse 200,Hero,Bike,2020,198217,69,Hybrid,Automatic,4,200,2,18,306,Bike,5,Yes,172,584,5648,14567
Xpulse 200,Hero,Bike,2020,393155,50,Electric,Automatic,4,200,2,18,300,Bike,6,Yes,237,531,14865,31017
Xpulse 200,Hero,Bike,2020,247000,47,Electric,Manual,4,200,2,18,326,Bike,8,No,211,219,9835,45955
Xpulse 200,Hero,Bike,2020,147457,74,Petrol,Manual,3,200,2,18,210,Bike,1,Yes,170,650,10191,56667
Xtreme 160R,Hero,Bike,2020,330244,28,Electric,Automatic,5,163,2,15,393,Bike,5,No,159,611,9082,32002
Xtreme 160R,Hero,Bike,2020,377934,38,Diesel,Automatic,3,163,2,15,134,Bike,7,Yes,207,369,3394,33424
Xtreme 160R,Hero,Bike,2020,105850,74,Petrol,Automatic,3,163,2,15,324,Bike,4,No,186,496,14537,15432
Xtreme 160R,Hero,Bike,2020,126592,47,Petrol,Automatic,4,163,2,15,216,Bike,4,No,183,514,13808,44415
Shine,Honda,Bike,2020,171179,35,Petrol,Manual,3,125,2,10,247,Bike,7,No,200,516,6360,47354
Shine,Honda,Bike,2020,189189,30,Diesel,Manual,3,125,2,10,217,Bike,3,Yes,246,267,14563,56178
Shine,Honda,Bike,2020,389317,74,Petrol,Manual,4,125,2,10,94,Bike,4,Yes,163,677,11813,44404
Shine,Honda,Bike,2020,106903,42,Electric,Automatic,3,125,2,10,202,Bike,7,No,171,409,9027,56651
SP125,Honda,Bike,2020,222560,51,Petrol,Manual,3,125,2,10,388,Bike,6,Yes,230,685,7309,31337
SP125,Honda,Bike,2020,92998,47,Electric,Automatic,3,125,2,10,315,Bike,3,Yes,194,506,8705,24693
SP125,Honda,Bike,2020,127899,74,Petrol,Manual,3,125,2,10,200,Bike,2,No,212,642,14113,31447
SP125,Honda,Bike,2020,306234,38,Petrol,Manual,4,125,2,10,325,Bike,2,No,188,555,11851,19083
Hornet 2.0,Honda,Bike,2020,330919,71,Hybrid,Manual,3,184,2,17,298,Bike,3,Yes,220,288,10801,33650
Hornet 2.0,Honda,Bike,2020,132592,63,Hybrid,Manual,5,184,2,17,368,Bike,7,Yes,160,472,7286,56655
Hornet 2.0,Honda,Bike,2020,346245,71,Hybrid,Automatic,3,184,2,17,94,Bike,6,No,239,212,9072,48876
Hornet 2.0,Honda,Bike,2020,317714,52,Hybrid,Automatic,5,184,2,17,334,Bike,4,Yes,187,565,14144,30958
CB350,Honda,Bike,2020,362877,50,Petrol,Automatic,4,348,2,21,100,Bike,5,Yes,158,405,13511,39852
CB350,Honda,Bike,2020,350313,36,Electric,Automatic,4,348,2,21,122,Bike,6,No,197,241,4052,20601
CB350,Honda,Bike,2020,165281,36,Diesel,Automatic,4,348,2,21,341,Bike,6,Yes,153,644,13911,36543
CB350,Honda,Bike,2020,289276,58,Petrol,Manual,5,348,2,21,289,Bike,3,Yes,248,320,13945,47056
Classic 350,Royal Enfield,Bike,2020,379236,37,Petrol,Manual,4,349,2,20,278,Bike,2,No,204,223,9064,20387
Classic 350,Royal Enfield,Bike,2020,324466,28,Electric,Automatic,4,349,2,20,105,Bike,6,No,178,534,7815,43016
Classic 350,Royal Enfield,Bike,2020,98841,42,Hybrid,Manual,4,349,2,20,186,Bike,7,No,231,699,9809,22817
Classic 350,Royal Enfield,Bike,2020,152726,32,Hybrid,Automatic,5,349,2,20,297,Bike,8,Yes,234,201,11625,32404
Hunter 350,Royal Enfield,Bike,2020,283650,65,Hybrid,Automatic,4,349,2,20,235,Bike,1,No,162,246,10177,37018
Hunter 350,Royal Enfield,Bike,2020,374395,47,Hybrid,Automatic,5,349,2,20,185,Bike,6,No,247,318,3346,55618
Hunter 350,Royal Enfield,Bike,2020,174516,63,Electric,Manual,4,349,2,20,270,Bike,3,Yes,215,674,9634,11608
Hunter 350,Royal Enfield,Bike,2020,318653,65,Electric,Manual,3,349,2,20,165,Bike,1,No,171,581,4517,31303
Meteor 350,Royal Enfield,Bike,2020,276859,59,Hybrid,Manual,3,349,2,20,99,Bike,7,Yes,184,494,9424,28714
Meteor 350,Royal Enfield,Bike,2020,346468,75,Petrol,Manual,3,349,2,20,151,Bike,8,No,171,472,7003,36069
Meteor 350,Royal Enfield,Bike,2020,361671,71,Petrol,Manual,5,349,2,20,218,Bike,7,Yes,224,229,12710,57593
Meteor 350,Royal Enfield,Bike,2020,110115,69,Petrol,Manual,5,349,2,20,382,Bike,4,No,159,474,5015,44837
Himalayan 450,Royal Enfield,Bike,2020,287115,73,Petrol,Automatic,5,452,2,40,229,Bike,7,Yes,234,337,9297,33811
Himalayan 450,Royal Enfield,Bike,2020,242547,61,Petrol,Manual,5,452,2,40,134,Bike,3,Yes,224,571,12664,16345
Himalayan 450,Royal Enfield,Bike,2020,386512,62,Diesel,Automatic,4,452,2,40,164,Bike,7,Yes,155,364,10642,18736
Himalayan 450,Royal Enfield,Bike,2020,285141,66,Petrol,Manual,4,452,2,40,144,Bike,5,No,247,679,11959,41728
R15 V4,Yamaha,Bike,2020,234772,36,Petrol,Manual,5,155,2,18,219,Bike,6,No,193,440,5970,19862
R15 V4,Yamaha,Bike,2020,84998,33,Hybrid,Manual,4,155,2,18,193,Bike,4,Yes,201,306,5291,47112
R15 V4,Yamaha,Bike,2020,125876,54,Petrol,Automatic,3,155,2,18,104,Bike,7,No,225,524,14075,18255
R15 V4,Yamaha,Bike,2020,338091,33,Petrol,Automatic,5,155,2,18,291,Bike,6,Yes,217,280,14531,43468
MT15,Yamaha,Bike,2020,170375,55,Diesel,Manual,5,155,2,18,360,Bike,8,No,237,263,12892,45130
MT15,Yamaha,Bike,2020,346938,61,Electric,Manual,5,155,2,18,213,Bike,3,Yes,167,360,8775,50649
MT15,Yamaha,Bike,2020,347135,28,Electric,Automatic,3,155,2,18,212,Bike,7,Yes,241,604,7473,33352
MT15,Yamaha,Bike,2020,268918,44,Electric,Automatic,3,155,2,18,107,Bike,8,No,185,497,13902,43783
FZ-S,Yamaha,Bike,2020,100421,66,Diesel,Manual,3,149,2,12,120,Bike,7,Yes,231,287,7387,55805
FZ-S,Yamaha,Bike,2020,284819,60,Petrol,Manual,4,149,2,12,271,Bike,1,No,237,618,8078,43693
FZ-S,Yamaha,Bike,2020,267117,65,Hybrid,Automatic,3,149,2,12,399,Bike,2,No,240,621,13874,10618
FZ-S,Yamaha,Bike,2020,159497,63,Hybrid,Manual,3,149,2,12,249,Bike,1,Yes,213,652,9993,34346
Duke 200,KTM,Bike,2020,206043,59,Hybrid,Automatic,5,199,2,25,292,Bike,6,No,177,666,6373,29011
Duke 200,KTM,Bike,2020,175664,64,Diesel,Manual,4,199,2,25,251,Bike,5,Yes,176,452,14784,27501
Duke 200,KTM,Bike,2020,358961,32,Diesel,Automatic,4,199,2,25,160,Bike,7,No,169,351,6837,13476
Duke 200,KTM,Bike,2020,149528,53,Petrol,Manual,3,199,2,25,241,Bike,8,Yes,167,317,10200,14310
Duke 390,KTM,Bike,2020,283189,64,Hybrid,Automatic,3,399,2,46,162,Bike,4,Yes,243,468,7934,20392
Duke 390,KTM,Bike,2020,172242,63,Electric,Automatic,3,399,2,46,354,Bike,2,No,195,530,12858,42433
Duke 390,KTM,Bike,2020,98293,56,Petrol,Manual,4,399,2,46,125,Bike,7,Yes,191,335,12519,35901
Duke 390,KTM,Bike,2020,293134,55,Diesel,Automatic,3,399,2,46,396,Bike,1,Yes,215,533,9616,58673
RC 390,KTM,Bike,2020,163676,59,Diesel,Manual,5,399,2,46,211,Bike,7,Yes,155,439,5642,18940
RC 390,KTM,Bike,2020,121940,58,Hybrid,Manual,4,399,2,46,100,Bike,1,Yes,185,635,3185,45644
RC 390,KTM,Bike,2020,322630,54,Petrol,Manual,3,399,2,46,353,Bike,8,No,236,255,3076,11219
RC 390,KTM,Bike,2020,179342,65,Electric,Manual,3,399,2,46,139,Bike,8,Yes,212,663,8723,41203
Swift,Maruti,Car,2021,3632789,17,Diesel,Automatic,4,1197,5,89,368,Hatchback,5,No,201,228,3615,54488
Swift,Maruti,Car,2021,2696419,15,Diesel,Manual,5,1197,5,89,204,Hatchback,6,Yes,175,637,9198,19726
Swift,Maruti,Car,2021,4401425,25,Electric,Manual,4,1197,5,89,256,Hatchback,3,No,186,579,5534,54619
Swift,Maruti,Car,2021,2724173,26,Electric,Manual,4,1197,5,89,107,Hatchback,1,Yes,192,256,5529,38161
Baleno,Maruti,Car,2021,1756698,16,Hybrid,Automatic,3,1197,5,89,289,Hatchback,5,No,187,461,14247,15226
Baleno,Maruti,Car,2021,607615,24,Hybrid,Automatic,4,1197,5,89,136,Hatchback,4,Yes,186,404,3516,39007
Baleno,Maruti,Car,2021,4401796,17,Electric,Automatic,4,1197,5,89,97,Hatchback,5,No,164,281,3751,26437
Baleno,Maruti,Car,2021,2987704,18,Hybrid,Automatic,5,1197,5,89,276,Hatchback,2,No,192,340,6414,43579
Dzire,Maruti,Car,2021,2778532,23,Hybrid,Manual,4,1197,5,89,247,Sedan,6,No,175,577,6118,40556
Dzire,Maruti,Car,2021,775161,26,Petrol,Automatic,4,1197,5,89,399,Sedan,4,Yes,162,687,4620,45737
Dzire,Maruti,Car,2021,881109,28,Petrol,Manual,5,1197,5,89,169,Sedan,3,Yes,162,460,12635,56198
Dzire,Maruti,Car,2021,708776,15,Electric,Automatic,3,1197,5,89,289,Sedan,6,Yes,236,503,7478,32369
Brezza,Maruti,Car,2021,1959602,26,Hybrid,Automatic,3,1462,5,103,199,SUV,2,Yes,229,682,10610,35397
Brezza,Maruti,Car,2021,1213335,28,Hybrid,Manual,4,1462,5,103,266,SUV,1,Yes,212,292,5118,46131
